Station ID,Station Name,Total Docks,Latitude,Longitude
7000,Ft. York / Capreol Crt.,30,43.639832,-79.395954
7001,Lower Jarvis St / The Esplanade,15,43.647992,-79.370907
7002,St George St / Bloor St W,12,43.667333,-79.399429
7003,Madison Ave / Bloor St W,13,43.667158,-79.402761
7004,University Ave / Elm St,11,43.656518,-79.389099
7005,University Ave / King St W,17,43.648093,-79.384749
7006,Bay St / College St,8,43.660422,-79.385441
7007,College St / Huron St,10,43.658148,-79.398167
7008,Queens Park Cres E,19,43.663957,-79.390884
7009,King St E / Jarvis St,8,43.650325,-79.372287
7010,King St W / Spadina Ave,16,43.645323,-79.395003
7011,Wellington St / Portland St,10,43.642982,-79.399256
7012,Elizabeth St / Edward St,13,43.656152,-79.385225
7013,Scott St / The Esplanade,17,43.64656,-79.375274
7014,Sherbourne / Carlton (Allan Gardens),17,43.663102,-79.373181
7015,King St W / Bay St,14,43.64852,-79.380576
7016,Ferry Ramp / Queens Quay W,20,43.640823,-79.376265
7017,Widmer St / Adelaide St ,18,43.647145,-79.391479
7018,Bremner Blvd / Rees St,13,43.641529,-79.386741
7019,Temperance St / Yonge St,14,43.650855,-79.379492
7020,Phoebe St / Spadina Ave,33,43.650033,-79.396555
7021,Bay St / Albert St,23,43.653264,-79.382458
7022,Simcoe St / Queen St W,18,43.650858,-79.387582
7023,College St / Borden St,11,43.6571,-79.4056
7024,Huron St / Harbord St ,18,43.663762,-79.399782
7025,Ted Rogers Way / Bloor St E,24,43.671594,-79.381074
7026,Bay St / St Joseph St,18,43.665615,-79.38758
7027,Beverly  St / Dundas St W,25,43.652823,-79.393388
7028,Gould St / Mutual St,30,43.6582,-79.3768
7029,Bay St / Bloor St W,13,43.669429,-79.389326
7030,Bay St / Wellesley St W,31,43.664088,-79.387095
7031,Jarvis St / Isabella St,21,43.669192,-79.379128
7032,Augusta Ave / Dundas St W,15,43.652175,-79.400913
7034,Church St / Bloor St E,12,43.671389,-79.382919
7035,Queen St / Ossington Ave,21,43.643975,-79.419576
7036,Melinda St / Yonge St,8,43.648629,-79.377748
7037,Bathurst St / Dundas St,19,43.6523,-79.4058
7038,Dundas / Yonge St.,14,43.656094,-79.381484
7039,Simcoe St / Dundas St W,27,43.653743,-79.38882
7040,Euclid Ave / Bloor St,18,43.6643,-79.415
7041,Edward St / Yonge St,20,43.65702,-79.382249
7042,Sherbourne St / Wellesley St,32,43.6673,-79.374
7043,Lower Simcoe St / Lakeshore Blvd W,17,43.640016,-79.383186
7044,Church St / Alexander St,14,43.6636,-79.3806
7045,Bond St / Queen St E,11,43.653236,-79.376716
7046,Niagara St./Queen W. (Richmond),13,43.64534,-79.409597
7047,University Ave / Gerrard St W,10,43.657763,-79.389165
7048,Front/Yonge (Hockey Hall of Fame),36,43.646144,-79.377962
7049,Queen St / Portland St,8,43.6476,-79.4015
7050,Richmond St E / Jarvis St,9,43.652634,-79.374222
7051,Wellesley St E. / Yonge St,16,43.664953,-79.384423
7052,Wellington St W / Bay St,27,43.647331,-79.379673
7053,Metro Hall Plaza,14,43.645859,-79.38783
7054,Navy Wharf Ct. / Bremner Blvd.,11,43.640722,-79.391051
7055,Jarvis St / Carleton St,13,43.66207,-79.37617
7056,Parliament St / Gerrard St,25,43.661149,-79.366648
7057,Simcoe St / Wellington St W,20,43.645533,-79.3854
7058,Church St / Monteith St ,11,43.666755,-79.381244
7059,Front St W / Blue Jays Way,14,43.643473,-79.390477
7060,Princess Ave / Adelaide St,19,43.652123,-79.367139
7061,Bloor St / Brunswick Ave,25,43.665876,-79.407224
7062,University Ave / College St,8,43.659226,-79.390213
7063,Queens Park / Bloor St W,18,43.668327,-79.39355
7064,Trinity / Front (Distillery),19,43.6513,-79.3603
7065,Dundas St / Parliament St,10,43.659575,-79.365769
7066,Willcocks St / St. George St,15,43.662237,-79.397716
7067,Yonge St. / Lakeshore Ave. E.,39,43.643795,-79.375413
7068,Dockside Dr / Queens Quay E.,22,43.644272,-79.367766
7069,Queen St W / Spadina Ave,10,43.649147,-79.395504
7070,25 York St,11,43.643566,-79.380298
7071,Bathurst / Queens Quay (Island Airport),18,43.6354,-79.3984
7072,Queen St W / Shaw St,12,43.644524,-79.416519
7073,Bremner / Spadina,15,43.640903,-79.392895
7074,Spadina Ave / Sussex Ave,26,43.664137,-79.402496
7075,Queens Quay W / Dan Leckie Way,26,43.636533,-79.395854
7076,York St / Queens Quay W,16,43.640132,-79.380464
7077,Granby St / Yonge St,17,43.660576,-79.382389
7078,College St / Major St,10,43.6576,-79.4032
7079,Gerrard St E / Church St,15,43.659778,-79.37978
